issuer_name,filing_date,filing_year,filing_quarter,filing_month,fund_type,asset_class_group,federal_exemption,state_of_incorporation,total_offering_amount,amount_sold,pct_capital_raised,num_investors,investor_bucket,fund_size_bucket,quality_tier,is_duplicate,is_outlier_offering
Marathon UCITS Funds - European Equity Fund,2024-12-31,2024,2024Q4,2024-12,Real Estate Fund,Real Assets,506(b),L2,10536727.57,4919961.81,0.4669,40,Mid (11-50),Lower Mid ($10M-$50M),Clean,0,0
OPENINFER Inc Dec 2024 a Series of CGF2021 LLC,2024-12-31,2024,2024Q4,2024-12,Private Debt,Private Debt,506(b),DE,9223866.93,844782.22,0.0916,8,Small (1-10),Small ($1M-$10M),Clean,0,0
"Mendoza Ventures Growth Inclusion Fund I, LP",2024-12-31,2024,2024Q4,2024-12,Fund of Funds,Private Equity & VC,506(c),DE,129749731.72,38303083.68,0.2952,24,Mid (11-50),Mid ($50M-$250M),Clean,0,0
LION INDUSTRIAL TRUST,2024-12-31,2024,2024Q4,2024-12,Hedge Fund,Hedge Funds,506(b),MD,1968331.02,1086649.79,0.5521,19,Mid (11-50),Small ($1M-$10M),Clean,0,0
"Forever 8 Fund, LLC",2024-12-31,2024,2024Q4,2024-12,Real Estate Fund,Real Assets,506(b),DE,1782602.66,219911.59,0.1234,11,Mid (11-50),Small ($1M-$10M),Clean,0,0
"Intellectus Ventures, LLC, Series 12",2024-12-31,2024,2024Q4,2024-12,Venture Capital,Private Equity & VC,506(b),DE,1243995.25,952882.17,0.766,1,Small (1-10),Small ($1M-$10M),Clean,0,0
1300 Patricia LLC,2024-12-31,2024,2024Q4,2024-12,Real Estate Fund,Real Assets,506(b),TX,2739331.59,1687386.66,0.616,20,Mid (11-50),Small ($1M-$10M),Clean,0,0
"Satori Co-Investment Partners II, LP",2024-12-31,2024,2024Q4,2024-12,Real Estate Fund,Real Assets,506(b),DE,18914572.79,11605157.13,0.6136,21,Mid (11-50),Lower Mid ($10M-$50M),Clean,0,0
"Satori Thematic Partners, LP",2024-12-31,2024,2024Q4,2024-12,Fund of Funds,Private Equity & VC,506(b),DE,15713630.66,13230654.95,0.842,36,Mid (11-50),Lower Mid ($10M-$50M),Clean,0,0
Marathon UCITS Funds - Emerging Markets Equity Fund,2024-12-31,2024,2024Q4,2024-12,Venture Capital,Private Equity & VC,506(b),L2,1520813.84,519785.95,0.3418,18,Mid (11-50),Small ($1M-$10M),Clean,0,0
VERBENA VIOLET INVESTORS LLC,2024-12-31,2024,2024Q4,2024-12,Venture Capital,Private Equity & VC,506(c),DE,875814.42,521560.61,0.5955,15,Mid (11-50),Micro (<$1M),Clean,0,0
"Rubix III, a series of Jay Desai Holdings II, LP",2024-12-31,2024,2024Q4,2024-12,Infrastructure,Real Assets,506(b),DE,6785507.57,4973540.38,0.733,47,Mid (11-50),Small ($1M-$10M),Clean,0,0
"HA-1118 Fund IV, a series of Roll Up Vehicles, LP",2024-12-31,2024,2024Q4,2024-12,Real Estate Fund,Real Assets,506(b),DE,636214.52,345242.43,0.5427,73,Large (51-200),Micro (<$1M),Clean,0,0
"Dreamer Holdings, a series of Leonis Powerlaw Investments, LP",2024-12-31,2024,2024Q4,2024-12,Venture Capital,Private Equity & VC,506(b),DE,34379633.42,30154834.8,0.8771,11,Mid (11-50),Lower Mid ($10M-$50M),Clean,0,0
"Silverstone Acquisitions, LP",2024-12-31,2024,2024Q4,2024-12,Hedge Fund,Hedge Funds,506(b),DE,830788.41,54879.95,0.0661,140,Large (51-200),Micro (<$1M),Clean,0,0
705 AVONDALE INVESTORS LLC,2024-12-31,2024,2024Q4,2024-12,Private Equity,Private Equity & VC,506(c),DE,11179842.98,5532863.7,0.4949,106,Large (51-200),Lower Mid ($10M-$50M),Clean,0,0
Canterbury Logistics (MSB 3) Assets LLC,2024-12-31,2024,2024Q4,2024-12,Venture Capital,Private Equity & VC,506(b),DE,1520959.36,1347329.57,0.8858,1,Small (1-10),Small ($1M-$10M),Clean,0,0
"Davidovs Venture Capital, LP - D1",2024-12-31,2024,2024Q4,2024-12,Private Equity,Private Equity & VC,506(c),DE,588074.8,490903.0,0.8348,165,Large (51-200),Micro (<$1M),Clean,0,0
"Blueberry Hill Insurance Fund Series Interests of the SALI Multi-Series Fund, L.P.",2024-12-31,2024,2024Q4,2024-12,Fund of Funds,Private Equity & VC,506(b),DE,533549.12,40437.19,0.0758,43,Mid (11-50),Micro (<$1M),Clean,0,0
"Performing Capital, LP",2024-12-31,2024,2024Q4,2024-12,Fund of Funds,Private Equity & VC,506(b),DE,1548999.36,1121006.34,0.7237,58,Large (51-200),Small ($1M-$10M),Clean,0,0
"ARCTOS KEYSTONE STAR CIV, LP",2024-12-31,2024,2024Q4,2024-12,Private Equity,Private Equity & VC,506(b),DE,568657.89,432398.72,0.7604,9,Small (1-10),Micro (<$1M),Clean,0,0
"Lakeshore Ventures Fund 5, LLC",2024-12-31,2024,2024Q4,2024-12,Private Equity,Private Equity & VC,506(c),DE,25813844.96,25624008.02,0.9926,2,Small (1-10),Lower Mid ($10M-$50M),Clean,0,0
Plane OSS LLC,2024-12-31,2024,2024Q4,2024-12,Private Equity,Private Equity & VC,506(b),DE,1707339.42,934209.43,0.5472,2,Small (1-10),Small ($1M-$10M),Clean,0,0
"OT-0304 Fund I, a series of Roll Up Vehicles, LP",2024-12-31,2024,2024Q4,2024-12,Real Estate Fund,Real Assets,506(b),DE,466248.26,252851.59,0.5423,72,Large (51-200),Micro (<$1M),Clean,0,0
Stratus Financial Income Fund II LLC,2024-12-31,2024,2024Q4,2024-12,Real Estate Fund,Real Assets,3C Fund,CA,17721218.89,12549763.61,0.7082,9,Small (1-10),Lower Mid ($10M-$50M),Clean,0,0
